D,W,A
0.403357,0.0250884,0.197359
0.403357,0.0250896,0.197429
0.403357,0.0251001,0.197469
0.403417,0.0251065,0.197474
0.403452,0.0251068,0.197556
0.403452,0.0251086,0.197608
0.403452,0.0251116,0.197622
0.404252,0.0251256,0.197636
0.404252,0.0251561,0.197752
0.404252,0.0251606,0.19782
0.40447,0.0251664,0.197902
0.40447,0.025221,0.198173
0.404751,0.0252263,0.198177
0.404751,0.0252273,0.198233
0.404751,0.0252384,0.198282
0.40485,0.02528,0.198293
0.40485,0.0253039,0.198296
0.405215,0.02532,0.19833
0.405285,0.0253204,0.198475
0.405285,0.0253217,0.198629
0.405344,0.0253267,0.198677
0.405464,0.0253434,0.198693
0.405889,0.0253574,0.198825
0.405889,0.0254002,0.198832
0.405889,0.025413,0.198853
0.405889,0.0254157,0.199062
0.405889,0.0254195,0.199084
0.406345,0.0254429,0.199115
0.406345,0.0254464,0.199239
0.406345,0.0254474,0.199259
0.406767,0.0254718,0.199407
0.406767,0.0254741,0.199504
0.407648,0.0254919,0.199603
0.40814,0.0255391,0.199618
0.40814,0.0255436,0.199663
0.40814,0.0255467,0.199671
0.40814,0.0255522,0.19969
0.40814,0.0255647,0.19974
0.40814,0.0256012,0.199948
0.40814,0.025607,0.199963
0.408435,0.0256381,0.20005
0.408435,0.0256566,0.200253
0.408435,0.025666,0.200306
0.408435,0.0256835,0.200416
0.408825,0.0256868,0.200439
0.409095,0.0256883,0.200458
0.409095,0.0256891,0.200488
0.409095,0.0256908,0.200547
0.409271,0.0257242,0.200551
0.409464,0.0257345,0.200739
0.409769,0.0257371,0.200778
0.409769,0.0257566,0.200838
0.409769,0.0257586,0.200889
0.410026,0.0257665,0.200953
0.410026,0.0257741,0.200955
0.410026,0.0257839,0.200976
0.410124,0.0257862,0.201072
0.410124,0.0258277,0.201196
0.410563,0.0258327,0.201198
0.410563,0.0258369,0.201279
0.410661,0.0258722,0.201373
0.410661,0.0258724,0.20145
0.410661,0.0259214,0.201452
0.410661,0.0259246,0.201471
0.410661,0.0259279,0.201661
